Company,Skill
Atlan,"Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Problem-Solving"
Atos,"API Devlopment, Adaptability, Cloud Computing, Communication, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, Web Development"
Avalara Technologies,"Application Support, Cloud Computing, Cybersecurity, Database Management, SDLC (Agile DevOps CI/CD), Software Development"
Avaya,"Artificial Intelligence & Machine Learning, Cloud Computing, Embedded Systems, SDLC (Agile DevOps CI/CD), Telecommunication Systems"
Avegen,"Communication, Database Management, Healthcare Domain Knowledge, Problem-Solving, Software Development, Web Development"
Ayaan Autonomous,"Artificial Intelligence & Machine Learning, Communication, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Robotics, Software Development"
BBD,"Artificial Intelligence & Machine Learning, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Testing"
BMC Softwares,"Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Infrastructure Automation, System Administration"
BNY Mellon,"Cloud Computing, Cybersecurity, Data Analytics, Financial Acumen, Problem-Solving, Software Development"
BUDDI.AI,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Healthcare Domain Knowledge, Web Development"
Bajaj Finance,"Artificial Intelligence & Machine Learning, Blockchain, Cloud Computing, Data Analytics, Database Management, Financial Acumen"
Bajaj Finserv,"Cloud Computing, Critical Thinking, Data Analytics, Database Management, Financial Acumen, Software Development"
Bakliwal Tutorials,"Communication, Critical Thinking, Digital Marketing, Marketing, Problem-Solving, Web Development"
Barclays,"Adaptability, Communication, Database Management, Financial Acumen, Problem-Solving, Teamwork & Collaboration, data analysis"
Berkadia,"API Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Web Development"
BirlaSoft,"Artificial Intelligence & Machine Learning, Cloud Computing, Database Management, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development"
Bizreach,"Adaptability, Cloud Computing, Database Management, Digital Marketing, Software Development, Web Development"
Bloomberg,"Artificial Intelligence & Machine Learning, Blockchain, Data Analytics, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript)"
Blue Flame Labs,"Problem-Solving, Programming Languages (Java Python C++ JavaScript), Software Development, Teamwork & Collaboration, Testing, Web Development"
Brainstorm Force,"Communication, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Web Development"
CION Digital,"Blockchain, Cloud Computing, Database Management, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development"
CLSA,"Cloud Computing, Communication, Data Analytics, Database Management, Financial Acumen, Problem-Solving"
Cadence,"Communication, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Software Development, VLSI Design"
CakeSoft Technologies,"Adaptability, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Testing, Web Development"
Capgemini,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Consulting Skills, Problem-Solving, SDLC (Agile DevOps CI/CD)"
Celebal Technologies,"API Devlopment, Adaptability, Cloud Computing, Communication, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Version Control, Web Development"
Cencora,"Adaptability, Communication, Problem-Solving, SAP, Teamwork & Collaboration, Technical Proficiency"
Centiro,"Cloud Computing, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Supply Chain Technology"
Ciena,"Artificial Intelligence & Machine Learning, Cloud Computing, Infrastructure Automation, Problem-Solving, System Administration, Telecommunication Systems"
Cisco,"Cloud Computing, Cybersecurity, Infrastructure Automation, Problem-Solving, Telecommunication Systems"
Cloudlex,"Application Support, CRM Systems, Cloud Computing, Communication, Programming Languages (Java Python C++ JavaScript), Web Development"
Cloudwerx,"Cloud Computing, Database Management, Infrastructure Automation, Problem-Solving, Software Development, System Administration"
CodeWalla,"Communication, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Software Development, Testing, Web Development"
Codenation,"Artificial Intelligence & Machine Learning, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Web Development"
Codevita Live,"Artificial Intelligence & Machine Learning, Critical Thinking, Problem-Solving, Software Development, Web Development"
Cognizant,"Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, SDLC (Agile DevOps CI/CD), Software Development, Teamwork & Collaboration, Testing, UI/UX, Version Control, Web Development"
Compass,"Adaptability, Automation testing, CI/CD, Communication, Critical Thinking, Programming Languages (Java Python C++ JavaScript), QA Methodologies, Teamwork & Collaboration, web technologies"
Corizo,"Communication, Database Management, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Crane process flow,"Data Analytics, Infrastructure Automation, Problem-Solving, Project Management, Software Development, Supply Chain Technology"
Credit Suisse,"Cloud Computing, Critical Thinking, Cybersecurity, Data Analytics, Database Management, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD)"
CrowdStrike,"Adaptability, Cloud Computing, Communication, Cybersecurity, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Teamwork & Collaboration"
Crowdworks,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Software Development, Web Development"
Cumulus,"Cloud Computing, Cybersecurity, Infrastructure Automation, Project Management, Software Development, System Administration"
Cutshort,"Artificial Intelligence & Machine Learning, Communication, Digital Marketing, Marketing, Software Development, Web Development"
DataAxle ( Pending ),"Cloud Computing, Communication, Data Analytics, Database Management, Marketing, Problem-Solving, Programming Languages (Java Python C++ JavaScript)"
Dataeaze,"Cloud Computing, Critical Thinking, Cybersecurity, Data Analytics, Database Management, Software Development"
Datametica,"Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Problem-Solving"
Deeptek,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Healthcare Domain Knowledge, Web Development"
Delhivery,"Adaptability, App Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Supply Chain Technology, Teamwork & Collaboration, Testing"
Deloitte,"Cloud Computing, Communication, Consulting Skills, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD)"
DeltaX,"Adaptability, App Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Database Management, Marketing, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, UI/UX, Web Development"
Demand Matrix,"Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Data Analytics, Digital Marketing, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, System Design & Scalability, Teamwork & Collaboration"
Deqode,"Artificial Intelligence & Machine Learning, Blockchain, Cloud Computing, Cryptography, Programming Languages (Java Python C++ JavaScript), Software Development"
Deutsche Bank,"Artificial Intelligence & Machine Learning, Blockchain, Cloud Computing, Database Management, Financial Acumen, Programming Languages (Java Python C++ JavaScript), data analysis"
Dragonfly Financial Technologies,"Cloud Computing, Database Management, Financial Acumen, Problem-Solving, Software Development, Web Development"
Druva,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Infrastructure Automation, System Administration"
E2Open,"Cloud Computing, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Supply Chain Technology"
EPIKInDiFi,"Application Support, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
EQ Technologic,"Cloud Computing, Data Analytics, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Web Development"
ETraveli,"Cloud Computing, Communication, Database Management, Digital Marketing, Problem-Solving, Web Development"
EXL,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, Version Control, system Integration"
Elastic Run,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Problem-Solving, Supply Chain Technology, Web Development"
Emerson,"Adaptability, Data Analytics, Programming Languages (Java Python C++ JavaScript), Project Management, Teamwork & Collaboration, control systems"
Endurance International,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Database Management, Digital Marketing, Web Development"
Energy Exemplar,"Cloud Computing, Communication, Critical Thinking, Cybersecurity, Energy Analytics, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Teamwork & Collaboration, Testing, Version Control, data analysis"
EnthrallTech,"Adaptability, Cloud Computing, Communication, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, Web Development"
Entrata,"Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Equifax,"Blockchain, Cloud Computing, Data Analytics, Database Management, Financial Acumen, Programming Languages (Java Python C++ JavaScript)"
Ernst & Young,"Communication, Consulting Skills, Critical Thinking, Database Management, Financial Acumen, data analysis"
Espressif,"Embedded Systems, Hardware Mechatronics, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Software Development, Telecommunication Systems"
Eternus Solutions,"Artificial Intelligence & Machine Learning, CRM Systems, Cloud Computing, Software Development, Web Development"
Eumentis Cloud,"Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Infrastructure Automation, System Administration"
Extramarks Education,"API Devlopment, App Devlopment, Cloud Computing, Communication, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), UI/UX, Version Control, Web Development"
Fabric Inc,"Cloud Computing, Communication, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development"
Facctum IT Solutions,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Cybersecurity, Database Management, Problem-Solving"
Fiat India Automobile,"Artificial Intelligence & Machine Learning, Automotive Electronics, Embedded Systems, Hardware Mechatronics"
FinIQ,"Data Analytics, Database Management, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Teamwork & Collaboration"
Financial sofware systems,"Artificial Intelligence & Machine Learning, Cloud Computing, Database Management, Payment Gateway Devlopment, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Testing, Version Control, Web Development"
Finastra,"API Devlopment, Adaptability, Cloud Computing, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, Version Control, Web Development"
Findability Sciences,"Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Problem-Solving"
Finvu,"Cloud Computing, Cybersecurity, Database Management, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development"
Fiserv,"Cloud Computing, Communication, Cybersecurity, Database Management, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development"
FlexTrade,"API Devlopment, Cloud Computing, Communication, Critical Thinking, Cybersecurity, Database Management, Financial Acumen, Payment Gateway Devlopment, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Software Development, Teamwork & Collaboration, Testing, Version Control"
Flo Group,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Supply Chain Technology, Web Development"
Fold Health,"Artificial Intelligence & Machine Learning, Data Analytics, Healthcare Domain Knowledge, Problem-Solving, Web Development"
Fox Solutions,"Adaptability, CRM Systems, Communication, Consulting Skills, Digital Marketing, Web Development"
GNS Engg.,"Adaptability, Automotive Electronics, Cloud Computing, Communication, Critical Thinking, Cybersecurity, Database Management, Embedded Systems, Hardware Mechatronics, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Robotics, Teamwork & Collaboration"
General Mills,"Adaptability, Application Support, Communication, Problem-Solving, Project Management, Teamwork & Collaboration, Technical Proficiency"
Godrej & Boyce,"Embedded Systems, PLC Programming, SCADA Systems, Supply Chain Technology"
Goldman Sachs,"Adaptability, Cloud Computing, Communication, Critical Thinking, Data Analytics, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Teamwork & Collaboration, Testing, Version Control"
Growisto,"Adaptability, Cloud Computing, Data Analytics, Digital Marketing, Problem-Solving, Web Development"
Groww,"Adaptability, Communication, Cybersecurity, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD)"
HCL Technologies,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, Version Control"
HDFC Bank,"Artificial Intelligence & Machine Learning, Blockchain, Cloud Computing, Data Analytics, Database Management, Financial Acumen"
HSBC,"Artificial Intelligence & Machine Learning, Blockchain, Cloud Computing, Data Analytics, Financial Acumen, Problem-Solving"
HashedIn,"Artificial Intelligence & Machine Learning, Cloud Computing, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Helpshift Technologies,"Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Risk Analysis, Teamwork & Collaboration, Testing, Web Development"
Hexaview Technologies,"Database Management, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Testing, Web Development"
Hexaware Technologies,"Application Support, Cloud Computing, SDLC (Agile DevOps CI/CD), Software Development, Teamwork & Collaboration, Testing"
Hitachi Vantara,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Problem-Solving, Software Development, Storage Technology"
Honeywell,"Cloud Computing, Embedded Systems, Hardware Mechatronics, IoT, PLC Programming, SCADA Systems"
IBM,"Artificial Intelligence & Machine Learning, Blockchain, Cloud Computing, Cybersecurity, Problem-Solving, Software Development"
IDFC FIRST Bank,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Cybersecurity, Database Management, Payment Gateway Devlopment, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Risk Analysis, SDLC (Agile DevOps CI/CD), System Design & Scalability, Teamwork & Collaboration, UI/UX, Version Control, Web Development"
IDeaS,"Artificial Intelligence & Machine Learning, Communication, Critical Thinking, Data Analytics, Database Management, Financial Acumen"
IDeaS A SAS,"Artificial Intelligence & Machine Learning, Communication, Critical Thinking, Data Analytics, Database Management, Financial Acumen"
IGT Solutions,"Adaptability, App Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Consulting Skills, Critical Thinking, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), System Design & Scalability, Testing, UI/UX, Version Control, Web Development"
ION,"Cloud Computing, Communication, Data Analytics, Database Management, Financial Acumen, SDLC (Agile DevOps CI/CD)"
ION Group,"Cloud Computing, Database Management, Financial Acumen, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development"
ISS,"Cloud Computing, Cybersecurity, Infrastructure Automation, Problem-Solving, System Administration"
ITC Infotech,"Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Critical Thinking, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, Web Development"
Icertis,"Artificial Intelligence & Machine Learning, CRM Systems, Cloud Computing, Problem-Solving, SDLC (Agile DevOps CI/CD), Web Development"
Ideas,"Communication, Consulting Skills, Data Analytics, Database Management, Financial Acumen, Problem-Solving"
Imagination Technologies,"Cloud Computing, Communication, Critical Thinking, Cybersecurity, Embedded Systems, GPU & Graphics Processing, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Testing"
Incubyte,"Adaptability, Cloud Computing, Communication, Cybersecurity, Database Management, Object-Oriented Design (OOD), Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, Web Development"
Infogen Labs,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Critical Thinking, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Risk Analysis, SDLC (Agile DevOps CI/CD), UI/UX, Web Development, system Integration"
Infosys,"Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
InnoGenium,"Artificial Intelligence & Machine Learning, Cloud Computing, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Innoplexus,"Adaptability, Artificial Intelligence & Machine Learning, Blockchain, Communication, Data Analytics, Programming Languages (Java Python C++ JavaScript), Teamwork & Collaboration, creativity"
Innovaccer,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Healthcare Domain Knowledge, Problem-Solving"
Intangles Lab,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Automotive Electronics, Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Database Management, Embedded Systems, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Teamwork & Collaboration"
IntegriChain Inc.,"Cloud Computing, Data Analytics, Database Management, Healthcare Domain Knowledge, Problem-Solving, Software Development"
Interactive Brokers,"Critical Thinking, Database Management, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Software Development"
Ittiam,"Artificial Intelligence & Machine Learning, Digital Signal Processing, Embedded Systems, Hardware Mechatronics, Telecommunication Systems"
Ittiam Systems,"Communication, Digital Signal Processing, Embedded Systems, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Software Development"
JISA Softech,"Application Support, Database Management, SDLC (Agile DevOps CI/CD), Software Development, Teamwork & Collaboration, Web Development"
JM Finance,"Adaptability, Communication, Data Analytics, Financial Acumen, Problem-Solving, Teamwork & Collaboration"
JPMC,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Financial Acumen, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD)"
Jaro Education,"Adaptability, Application Support, Cloud Computing, Communication, Data Analytics, Database Management, Marketing, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, Web Development"
Jio,"Artificial Intelligence & Machine Learning, Blockchain, Cloud Computing, Cybersecurity, Database Management"
Jombay,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Cybersecurity, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Teamwork & Collaboration, Testing, UI/UX, Version Control, Web Development"
K12 Techno Services,"Adaptability, Communication, Consulting Skills, Critical Thinking, Inventory Management, Problem-Solving, Teamwork & Collaboration"
Kylas,"Artificial Intelligence & Machine Learning, CRM Systems, Cloud Computing, Digital Marketing, Web Development"
L & T Infotech,"Artificial Intelligence & Machine Learning, Cloud Computing, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Testing"
LTI,"Cloud Computing, Communication, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Software Development, Testing"
LTI Spark,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Software Development, Teamwork & Collaboration, UI/UX, Web Development"
Launch Ventures,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Risk Analysis, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, UI/UX, Version Control, Web Development, system Integration"
Lentra AI,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, SDLC (Agile DevOps CI/CD), Web Development"
Lifeline Systech,"Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Live Health,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Communication, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Risk Analysis, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Version Control, Web Development"
LogiQuad,"Cloud Computing, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Logicmonitor,"Application Support, Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Infrastructure Automation, System Administration"
Lowe's India,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Problem-Solving, Supply Chain Technology, Web Development"
Mastercard,"Artificial Intelligence & Machine Learning, Blockchain, Cloud Computing, Database Management, Financial Acumen, Programming Languages (Java Python C++ JavaScript)"
McKinley & Rice,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Teamwork & Collaboration, Version Control, Web Development"
Media.net,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Digital Marketing, Web Development"
Mediaocean,"Artificial Intelligence & Machine Learning, CRM Systems, Data Analytics, Marketing, Problem-Solving, Web Development"
Medly Pharmacy,"Cloud Computing, Communication, Database Management, Healthcare Domain Knowledge, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Web Development"
Merilytics,"Adaptability, Artificial Intelligence & Machine Learning, Communication, Critical Thinking, Data Analytics, Database Management"
MetaMorphoSys,"Artificial Intelligence & Machine Learning, Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development"
Metro-GSC,"Adaptability, Communication, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Teamwork & Collaboration"
Microsoft,"Adaptability, Cloud Computing, Communication, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Software Development, Teamwork & Collaboration, data analysis"
Miko,"Artificial Intelligence & Machine Learning, Communication, Embedded Systems, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Robotics, Software Development"
Mindstix,"Artificial Intelligence & Machine Learning, Cloud Computing, Problem-Solving, Software Development, Testing, Web Development"
Mindstix Software Labs,"Artificial Intelligence & Machine Learning, Cloud Computing, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Mindtree,"App Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), System Design & Scalability, Teamwork & Collaboration, Testing, UI/UX, Web Development"
Mini Orange,"Cloud Computing, Cybersecurity, Database Management, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
